title,pricebucks,price,image,description
Subaru Outback,$ 30 500,2 681 560 сом,https://im.mashina.kg/tachka/images//1/b/7/1b7c35278e650abe8ea68f87084a6d5f_240x180.jpg,"2020г.,2.5л.,вариаторуниверсал,бензинрульслева,34000км"
Lexus RX,$ 59 900,5 266 408 сом,https://im.mashina.kg/tachka/images//d/9/d/d9d7635b703e903ecd9fb8945d10bcba_240x180.jpg,"2020г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,100000км"
Kia Mohave (Borrego),$ 46 500,4 088 280 сом,https://im.mashina.kg/tachka/images//e/e/a/eea4da1c6fc1e8ee14d08b24af77db22_240x180.jpg,"2021г.,3л.,автоматвнедорожник5дв.,дизельрульслева,40000км"
Lexus RX,$ 110 000,9 671 200 сом,https://im.mashina.kg/tachka/images//a/9/f/a9f233d104da58471f87cca7fdb3505f_240x180.jpg,"2023г.,2.4л.,автоматвнедорожник5дв.,бензинрульслева,260км"
Hyundai Palisade,$ 49 900,4 387 208 сом,https://im.mashina.kg/tachka/images//3/1/2/31232da44301e9475e84e04569145b30_240x180.jpg,"2021г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,50000км"
Kia K5 II Седан,$ 14 300,1 257 256 сом,https://im.mashina.kg/tachka/images//d/3/c/d3cc988b44503643666287d6f7ebeb5d_240x180.jpg,"2018г.,2л.,автоматседан,газрульслева,130000км"
Toyota 4Runner,$ 47 000,4 132 240 сом,https://im.mashina.kg/tachka/images//5/c/f/5cf6e6094bb03faf50b45dbc4c1a9f9f_240x180.jpg,"2017г.,4л.,автоматвнедорожник5дв.,бензинрульслева,98200км"
Kia K5 II Седан,$ 16 500,1 450 680 сом,https://im.mashina.kg/tachka/images//e/d/a/edaf1a725e3d97ddaf517a15d88ecda5_240x180.jpg,"2019г.,2л.,автоматседан,газрульслева,177334км"
Toyota Land Cruiser,$ 17 000,1 494 640 сом,https://im.mashina.kg/tachka/images//c/8/7/c87901ecf12a4e876e025d407d50c693_240x180.jpg,"2000г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,310000км"
BMW X5,$ 128 000,11 253 760 сом,https://im.mashina.kg/tachka/images//4/0/e/40e6e26a0f646ae7058ba9536fcd1685_240x180.jpg,"2022г.,3л.,автоматвнедорожник5дв.,дизельрульслева,5000км"
Toyota Camry,$ 18 500,1 626 520 сом,https://im.mashina.kg/tachka/images//4/b/7/4b7e17bec030c3481f300e91e8c1e324_240x180.jpg,"2017г.,2.5л.,автоматседан,гибридрульслева,31000км"
Toyota Highlander,$ 45 000,3 956 400 сом,https://im.mashina.kg/tachka/images//8/6/0/86031fe8a499163f1bd0bfe27353227a_240x180.jpg,"2017г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,65000км"
Lexus LX,$ 43 000,3 780 560 сом,https://im.mashina.kg/tachka/images//2/9/1/291746d834cb9375d877092bb0a3e6a5_240x180.jpg,"2011г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,217000км"
